Pays,Categorie,Nom,Ville,Contact_public,Site,Source_URL,Compatibilite_Nyllo,Priorite,Statut,Notes
Belgique,After party Belgique,Fingova,Ham-sur-Heure,fingova@gmail.com,,https://www.facebook.com/Aperobike/,Bonne,B,à contacter,Contact email seul fourni au départ ; Facebook Apéros Vélo / Apero Bike indique aussi téléphone +32 497 44 40 21 et localisation Ham-sur-Heure 6120 ; qualifier lien exact avec after party avant envoi
Belgique,Club afro house / after party,Birdy Brussels,Bruxelles,info@birdybrussels.com,https://www.birdybrussels.com/,https://www.birdybrussels.com/contact/,Très forte,A,à contacter,Club Avenue Louise ; ouvert vendredi/samedi 00:00-06:00 ; private events possibles ; afrohouse déjà positionné sur le site
Belgique,After party / afro house,Mirano Brussels,Bruxelles,info@miranobrussels.com,à compléter,à compléter,Très forte,A,à contacter,Contact fourni manuellement ; téléphone 0456 68 88 52 ; afro party déjà repérée
Belgique,After party / afro house,Chateau d'Egmont,à compléter,info@chateaudegmont.be,à compléter,à compléter,Très forte,A,à contacter,Contact fourni manuellement ; téléphone 0489 53 52 18
Belgique,Bar / after party afro house,Le Kraken Pub,à compléter,contact@lekrakenpub.com,à compléter,à compléter,Forte,A,à contacter,Contact fourni manuellement ; à qualifier ville et capacité
Belgique,Club / after party afro house,Storia Club Event,à compléter,storiaclubevent@gmail.com,à compléter,à compléter,Forte,A,à contacter,Contact fourni manuellement ; à qualifier ville et calendrier
Belgique,Bar / after party afro house,La Cuve Namur,Namur,lacuvenamur@gmail.com,à compléter,à compléter,Forte,A,à contacter,Contact fourni manuellement ; bon angle Namur after party
Belgique,After party / club afro house,The Day Club Belgium,Bruxelles,thedayclub.belgium@gmail.com,à compléter,à compléter,Très forte,A,à contacter,Contact fourni manuellement ; after party Bruxelles
Belgique,Events afro-house / club,House of Lagos,Anvers,houseoflagosofficial@gmail.com,à compléter,à compléter,Très forte,A,à contacter,Contact fourni ; événements afro-house / afrobeat à Anvers
Belgique,Bar DJ / dance / after party,Station BXL,Bruxelles,stationbxl@gmail.com,https://www.visit.brussels/,https://www.visit.brussels/en/visitors/venue-details.Station-BXL.267320,Très forte,A,à contacter,"Visit Brussels indique DJ vendredi/samedi, urban music et dance"
Belgique,Bar DJ / concerts,Le Reservoir Bar,Bruxelles,info@lereservoir.be,https://www.visit.brussels/,https://www.visit.brussels/en/visitors/venue-details.Le-Reservoir-bar.274795,Forte,A,à contacter,Bar avec concerts et DJ sets ; emerging Belgian scene
Belgique,Bar / after party / groupes,Au Bassin,Bruxelles,info@aubassin.be,https://aubassin.be/,https://www.visit.brussels/en/professionals/venue-details.Au-Bassin.245494,Forte,A,à contacter,"Email confirmé par Visit Brussels et Instagram officiel ; Quai aux Briques, 1000 Bruxelles ; salles privatisables jusque 250 personnes"
Belgique,Bar alternatif / after party,The Crazy Circle,Ixelles,info@thecrazycircle.com,https://www.visit.brussels/,https://www.visit.brussels/en/visitors/venue-details.The-Crazy-Circle.252434,Bonne,B,à contacter,Bar bruxellois ; à tester pour format petit club / after party
Belgique,Bar / café concert / afro-world,Café Béguin,Bruxelles,cafebeguin@gmail.com,https://www.cafebeguin.be/,https://www.cafebeguin.be/,Très forte,A,à contacter,Déjà très compatible concerts/jams afro-world
Belgique,Bar / club / live music,La Machine,Bruxelles,info@lamachine.be,https://lamachine.be/,https://www.visit.brussels/fr/visiteurs/venue-details.La-Machine.265916,Forte,A,à contacter,Email et téléphone confirmés par Visit Brussels : +32 2 808 55 54 ; Instagram indique aussi ARTIST BOOKING sur info@lamachine.be
Belgique,Club jazz / world / diaspora,Sounds Jazz Club,Ixelles / Bruxelles,sounds-resist@collectifs.net,https://www.sounds.brussels/,https://www.sounds.brussels/fr/jazz-club/,Très forte,A,à contacter,"Programmation jazz, world, diaspora ; bon format percussions live"
Belgique,Hotel rooftop / bar / private events,JAM Brussels Rooftop,Bruxelles,brussels@jamhotels.eu,https://www.jamhotels.eu/special-events,https://www.jamhotels.eu/special-events,Très forte,A,à contacter,Hôtel avec rooftop/pool et événements spéciaux ; très bon format sunset/afterwork/after party
Belgique,Hotel rooftop / private events,The Standard Brussels / Lila29,Bruxelles,brussels.events@standardhotels.com,https://www.standardhotels.com/brussels/properties/brussels,https://www.standardhotels.com/brussels/properties/brussels,Très forte,A,à contacter,Hôtel avec rooftop bar Lila29 et espaces events ; jusqu'à 200 standing outdoor selon page events
Belgique,Hotel / after work / events,The Dominican,Bruxelles,info@thedominican.be,https://www.visit.brussels/,https://www.visit.brussels/en/visitors/event-details.The-Dominican-After-Work.5700019677,Forte,A,à contacter,Hôtel avec after work répertorié Visit Brussels ; bon angle afterwork live
Belgique,Hotel rooftop / private event,The Roof by The 1040 / Sofitel Brussels Europe,Bruxelles,sophie.contardi@sofitel.com,https://sofitel.accor.com/en/hotels/5282/B002.bar.html,https://sofitel.accor.com/en/hotels/5282/B002.bar.html,Très forte,A,à contacter,"Rooftop avec cocktails, DJ sets et privatisation jusqu'à 70 personnes"
Belgique,Hotel rooftop / bar / events,The Hoxton Brussels,Bruxelles,events.brussels@thehox.com,https://thehoxton.com/brussels/parties-and-celebrations/,https://thehoxton.com/brussels/contact/,Forte,A,à contacter,"Email events Bruxelles confirmé ; autres contacts utiles : elio@thehox.com, hello.brussels@thehox.com, sales.brussels@thehox.com ; téléphone +32 2 883 81 00"
Belgique,Hotel rooftop / bar / events,Yalo Hotel Rooftop,Gand,hello@yalohotel.com,https://www.yalohotel.com/en/,https://www.yalohotel.com/en/about/,Forte,A,à contacter,"Boutique hôtel avec bar, restaurant, rooftop et meeting/events ; bon format Gand"
Belgique,Hotel rooftop / bar / DJ,Lindner Hotel Antwerp / Sky Lounge,Anvers,info.antwerp@lindnerhotels.com,https://www.hyatt.com/jdv-by-hyatt/en-US/anrja-lindner-hotel-antwerp/sky-lounge,https://www.hyatt.com/jdv-by-hyatt/en-US/anrja-lindner-hotel-antwerp/sky-lounge,Forte,A,à contacter,Sky Lounge ; page hôtel mentionne after work du vendredi avec DJ
Belgique,Rooftop bar / private events,Skybar Antwerp,Anvers,info@skybarantwerp.be,https://www.skybarantwerp.be/,https://www.skybarantwerp.be/contact,Très forte,A,à contacter,Rooftop privatisable entièrement ou partiellement ; live DJ sur certains événements
Belgique,Club / after party,Club 69,Gand,info@club-69.be,https://www.club-69.be/,https://www.club-69.be/,Forte,A,à contacter,Club ouvert vendredi/samedi 23:00-06:00 ; table reservations par email
Belgique,Club house / techno,Kompass Klub,Gand,info@kompassklub.com,https://kompassklub.com/,https://visit.gent.be/en/see-do/kompass-klub,Bonne,B,à contacter,"Email confirmé par Visit Gent/Facebook ; adresse actuelle à compléter entre Nieuwevaart 51 et Vliegtuiglaan 12 selon sources ; club house/techno, approche afro-house possible | Contact email exploitable ; champs secondaires à compléter si besoin."
Belgique,Rooftop event venue,Rooftop Gaston,Gand,info@rooftopgaston.be,https://rooftopgaston.be/en/halls/party-room/,https://visit.gent.be/en/gentcongres/rooftop-gaston,Forte,A,à contacter,"Email et téléphone confirmés par Visit Gent : +32 496 10 92 09 ; adresse Hurstweg 8, 9000 Gent ; location privée possible jusqu'à 96/150 selon configuration"
Belgique,Listening bar / selector nights,Gold Listening Bar,Gand,info@goldbar.gent,https://www.goldbar.gent/en,https://www.goldbar.gent/en,Bonne,B,à contacter,"Email confirmé par site officiel et Facebook ; adresse Goudstraat 2, 9000 Gent ; accepte propositions de sessions/curation et location privée"
