Pays,Region,Ville,Nom,Categorie,Contact_public,Telephone,Site,Source_URL,Compatibilite_Nyllo,Priorite,Statut,Notes,Styles_Nyllo,Segment_booking,Niveau_ciblage,Raison_ciblage,Action_recommandee
Pays-Bas,Noord-Holland,Amsterdam,Club Noir Amsterdam,Club Afrobeats / Amapiano / after party,info@clubnoir-amsterdam.nl,+31 6 16705072,https://www.clubnoir-amsterdam.nl/,https://www.clubnoir-amsterdam.nl/,Tres forte,A,a contacter,Club oriente Afrobeats/Amapiano; bon profil pour after-party afro house.,world-music | afro-house | house-music,after-party afro house / club house,A+ tres prioritaire,world/global/afro-caribbean; afro house/amapiano/afro; house/electro/club,Contacter en premier avec angle A SELVA afro house + world/percussions.
Pays-Bas,Noord-Holland,Amsterdam,Madam Amsterdam,Skybar / nightclub / DJ sets,info@madamamsterdam.nl,,https://madamamsterdam.nl/,https://madamamsterdam.nl/,Tres forte,A,a contacter,Skybar/nightclub dans A'DAM Tower; DJ sets vendredi/samedi; bon angle after-party.,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.
Pays-Bas,Noord-Holland,Amsterdam,Four Elements Hotel Sky Bar,Hotel sky bar / private events / DJ,events@fourelementshotel.com,+31 20 714 20 40,https://fourelementshotel.com/skybar,https://fourelementshotel.com/skybar,Tres forte,A,a contacter,Hotel sky bar avec live DJ vendredi/samedi et evenements prives/corporate.,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.
Pays-Bas,Noord-Holland,Amsterdam,SKYY Bar Amsterdam / WestCord Fashion Hotel,Hotel bar / private events,groups.fashion@westcordhotels.nl,+31 20 810 0821,https://westcordhotels.com/restaurants/skyy-bar/,https://westcordhotels.com/restaurants/skyy-bar/,Forte,A,a contacter,Bar d'hotel avec offres events/private floor; format adapte aux showcases et after-parties.,hors cible,hors cible principal,C hors cible / faible,pas de signal direct dans le fichier,Garder en veille sauf opportunite speciale.
Pays-Bas,Noord-Holland,Amsterdam,CIMA Rooftop Bar,Rooftop bar / DJ / group events,cimamanagement@renaissanceamsterdam.com / GME@renaissanceamsterdam.com,+31 20 551 2042,https://cimarooftop.com/en,https://cimarooftop.com/en,Forte,A,a contacter,Rooftop avec DJ live vendredi/samedi; contacts groupes 8-25 et 25+.,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.
Pays-Bas,Noord-Holland,Amsterdam,Doka / Volkshotel,Sound bar / DJ / live culture,reservations@volkshotel.nl,+31 20 261 2100,https://www.volkshotel.nl/en/doka/,https://www.volkshotel.nl/en/doka/,Tres forte,A,a contacter,Sound bar du Volkshotel; programmation DJ/live/culture; hotel venue interessant pour after-party.,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.
Pays-Bas,Noord-Holland,Amsterdam,Yellow House Amsterdam,Event venue / bar / private booking,event@yellowhouse.amsterdam,020 531 22 55,https://yellowhouse.amsterdam/contact-us/,https://yellowhouse.amsterdam/contact-us/,Forte,A,a contacter,Booking events public; email general aussi disponible: info@yellowhouse.amsterdam.,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.
Pays-Bas,Noord-Holland,Amsterdam,Supperclub Amsterdam,Club / private events / Afro house nights,sales@supper.nl / info@supper.nl,+31 6 28725217 / +31 20 2050 221,https://supper.nl/private-events/,https://supper.nl/private-events/,Tres forte,A,verifie email,"Club et private events; afro house/Latin house observe dans la programmation, mail direct non trouve. | Enrichi 13/08/2026 depuis passe Pays-Bas.",bresil | afro-house | house-music,after-party afro house / club house,A+ tres prioritaire,bresil/latin/tropical; afro house/amapiano/afro; house/electro/club,Contacter en premier avec angle A SELVA afro house + world/percussions.
Pays-Bas,Noord-Holland,Amsterdam,LuminAir Amsterdam,Rooftop bar / event space / DJ,reservations@luminairamsterdam.com / AMSCS_LuminAir@hilton.com,+31 20 530 0875,https://www.luminairamsterdam.com/program,https://www.luminairamsterdam.com/program,Forte,B,email secondaire,Rooftop avec programmation/DJ sounds; contact direct a completer via site. | Enrichi 13/08/2026 depuis passe Pays-Bas.,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.
Pays-Bas,Noord-Holland,Amsterdam,Zoku Amsterdam Rooftop,Rooftop events / Amapiano Afro House,meetamsterdam@livezoku.com / helloamsterdam@livezoku.com,+31 6 1820 9013 / +31 20 811 2811,https://livezoku.com/contact/,https://livezoku.com/contact/,Forte,B,verifie email,Evenement rooftop House of Jungle avec Amapiano/Afro House; contact booking a completer. | Enrichi 13/08/2026 depuis passe Pays-Bas. | Passe 2 Pays-Bas 13/08/2026.,afro-house | house-music,after-party afro house / club house,A prioritaire,afro house/amapiano/afro; house/electro/club,Contacter avec proposition adaptee au style dominant.
Pays-Bas,Zuid-Holland,Rotterdam,AfroVision NL / Toffler Rotterdam,Afro House event / club night,info@afrovision.nl,a completer,https://www.afrovision.nl/events/,https://www.afrovision.nl/events/,Tres forte,A,a contacter,"Organisateur/event Afro House, Afro Deep, Afro Tech; evenements a Rotterdam/Toffler.",afro-house | house-music,after-party afro house / club house,A prioritaire,afro house/amapiano/afro; house/electro/club,Contacter avec proposition adaptee au style dominant.
Pays-Bas,Zuid-Holland,Rotterdam,TOFFLER Rotterdam,Underground club / electronic / Afro house events,info@toffler.nl,a completer,https://www.toffler.nl/,https://www.toffler.nl/,Forte,B,verifie email,Club electronique; AfroVision y organise des soirees afro house; mail direct Toffler a completer. | Enrichi 13/08/2026 depuis passe Pays-Bas.,afro-house | house-music,after-party afro house / club house,A prioritaire,afro house/amapiano/afro; house/electro/club,Contacter avec proposition adaptee au style dominant.
Pays-Bas,Zuid-Holland,Rotterdam,Grounds Rotterdam,World / Afro-Caribbean / Afro House live,info@grounds.nu,+31 6 23733246,https://www.grounds.nu/en/friends/,https://www.grounds.nu/en/friends/,Forte,B,verifie email,"Programmation liee Afro-Caribbean, Afrobeat, Afro House/Afro Tech; contact direct a completer. | Enrichi 13/08/2026 depuis passe Pays-Bas.",world-music | afro-house | house-music,after-party afro house / club house,A+ tres prioritaire,world/global/afro-caribbean; afro house/amapiano/afro; house/electro/club,Contacter en premier avec angle A SELVA afro house + world/percussions.
Pays-Bas,Noord-Holland,Amsterdam,Shelter Amsterdam,Underground club / house / techno,info@shelteramsterdam.nl,a completer,https://www.shelteramsterdam.nl/contact/,https://www.shelteramsterdam.nl/contact/,Tres forte,A,a contacter,Club underground sous A'DAM Tower; profil house/techno et public nuit.,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.
