Pays,Periode_ou_date,Evenement_ou_lieu,Type,Lieu,Adresse,Ville,Organisateur,Contact_public,Site,Source_URL,Compatibilite_Nyllo,Priorite,Statut,Notes
Belgique,2024-2026,Café Béguin,Bar / café concert / jam afro-world,Café Béguin,Place du Samedi 12A,Bruxelles,Café Béguin,cafebeguin@gmail.com,https://www.cafebeguin.be/,https://www.cafebeguin.be/,Très forte,A,à contacter,"Concerts gratuits 3 à 5 soirs par semaine ; jazz, afrobeat, afro-latin, groove, soul, salsa"
Belgique,21 juin 2026,Afro Jam Bruxelles - Fête de la Musique,Jam afro / événement public,Café Béguin,Place du Samedi 12A,Bruxelles,AFRO JAM Bruxelles + Café Béguin,via Facebook / Café Béguin,https://www.cafebeguin.be/,https://www.bars10.com/BE/Brussels/103055559329334/AFRO-JAM-Bruxelles,Très forte,A,à contacter,Source issue d’une page publique reprenant des posts Facebook ; jam de 16h à 21h
Belgique,30 mai 2026,Musical Tribute with Clive Govinden's Friends,Concert / hommage,Café Béguin,Place du Samedi 12A,Bruxelles,Café Béguin / Dexter,inmemoryofclive@gmail.com,https://www.visit.brussels/,https://www.visit.brussels/en/visitors/event-details.Musical-Tribute-with-Clive-Govinden-s-Friends.5700022373,Bonne,B,à contacter,Montre que le lieu accueille concerts publics et musiciens invités
Belgique,20 juin 2026,Soirée Rumba Congolaise Soukous Ndombolo,Concert / danse / diaspora,Flamingo,Rue de Laeken 177,Bruxelles,Flamingo + Afro Jam,via Facebook / lieu,à compléter,https://www.bars10.com/BE/Brussels/103055559329334/AFRO-JAM-Bruxelles,Forte,A,à contacter,"Événement Fête de la Musique, très compatible percussion et danse"
Belgique,2024-2026,Flamingo,Bar / restaurant / concerts live,Flamingo,Rue de Laeken 177,Bruxelles,Flamingo,contact via site officiel,https://flamingobrussel.be/en/contact,https://flamingobrussel.be/en/contact,Forte,A,à contacter,"Site officiel avec page Contact ; adresse Rue de Laeken 177, 1000 Bruxelles ; live music et Afro Jam repérés, email direct non affiché."
Belgique,2024-2026,La Machine,Bar / club / live music,La Machine,Place Saint-Géry 2,Bruxelles,La Machine,info@lamachine.be,https://lamachine.be/,https://lamachine.be/fr/contact,Forte,A,à contacter,Bar live music + DJ à Saint-Géry ; VI.BE le classe café / club
Belgique,2024-2026,La Machine - VI.BE,Lieu musique live / club,La Machine,Place Saint-Géry 2,Bruxelles,La Machine,info@lamachine.be,https://vi.be/platform/lamachine,https://vi.be/platform/lamachine,Forte,A,à contacter,Plateforme VI.BE : Steampunk bar/live music club
Belgique,2024-2026,Chateau d'Egmont,After party / afro house,Chateau d'Egmont,à compléter,à compléter,Chateau d'Egmont,info@chateaudegmont.be,à compléter,à compléter,Très forte,A,à contacter,Contact fourni manuellement le 13/08/2026 ; téléphone 0489 53 52 18 ; à classer Nyllo after party afro house Belgique
Belgique,2024-2026,Mirano Brussels,After party / afro house,Mirano Brussels,à compléter,Bruxelles,Mirano Brussels,info@miranobrussels.com,à compléter,à compléter,Très forte,A,à contacter,Contact fourni manuellement le 13/08/2026 ; téléphone 0456 68 88 52 ; à classer after party afro house
Belgique,2024-2026,Le Kraken Pub,Bar / after party afro house,Le Kraken Pub,à compléter,à compléter,Le Kraken Pub,contact@lekrakenpub.com,à compléter,à compléter,Forte,A,à contacter,Contact fourni manuellement le 13/08/2026 ; à classer afro house
