Nom_avant,Nom_apres,Contact,Statut,Source
Chateau d'Egmont,Chateau d'Egmont,info@chateaudegmont.be,contact public verifie,https://www.chateaudegmont.be/
Le Kraken Pub,Le Kraken Pub,contact@lekrakenpub.com,verifie email,https://lekrakenpub.com/
Chateau d'Egmont,Chateau d'Egmont,info@chateaudegmont.be,contact public verifie,https://www.chateaudegmont.be/
Le Kraken Pub,Le Kraken Pub,contact@lekrakenpub.com,verifie email,https://lekrakenpub.com/
Het Depot,Het Depot,info@hetdepot.be,verifie email,https://www.hetdepot.be/general-conditions
Festivals.be,Botanique,accueil@botanique.be,verifie email,https://www.festivals.be/organisateur/botanique/
Festivals.be,Botanique,botacarte@botanique.be,verifie email,https://www.festivals.be/organisateur/botanique/
Festivals.be,Botanique,info@botanique.be,verifie email,https://www.festivals.be/organisateur/botanique/
Festivals.be,Botanique,tickets@botanique.be,verifie email,https://www.festivals.be/organisateur/botanique/
Festivals.be,Ancrage,ancrage@alises.eu,verifie email,https://www.festivals.be/organisateur/ancrage/
Festivals.be,Ancrage,info@ancrage.be,verifie email,https://www.festivals.be/organisateur/ancrage/
Festivals.be,Graspop Metal Meeting,info@gmm.be,verifie email,https://www.graspop.be/en/contact
Festivals.be,Rock Werchter,info@rockwerchter.be,verifie email,https://www.rockwerchter.be/en/disclaimer
Festivals.be,Ville de Bruxelles - festivals,contact via site Ville de Bruxelles,contact via site,https://www.festivals.be/organisateur/ville-de-bruxelles/
Festivals.be,Film Fest Gent,info@filmfestival.be,verifie email,https://www.filmfestival.be/
Rock Werchter,Rock Werchter,info@rockwerchter.be,verifie email,https://www.rockwerchter.be/en/disclaimer
Dour Festival,Dour Festival,hello@dourfestival.eu,verifie email,https://www.dourfestival.eu/
Sfinks Mixed,Sfinks Mixed,info@sfinks.be,verifie email,https://www.sfinks.be/
Lokerse Feesten,Lokerse Feesten,info@lokersefeesten.be,verifie email,https://www.lokersefeesten.be/
Reggae Geel,Reggae Geel,info@reggaegeel.com,verifie email,https://www.reggaegeel.com/
Antilliaanse Feesten,Antilliaanse Feesten,info@antilliaansefeesten.be,verifie email,https://www.antilliaansefeesten.be/
Alcatraz Hard Rock & Metal Festival,Alcatraz Hard Rock & Metal Festival,info@alcatraz.be,verifie email,https://www.alcatraz.be/
Laundry Day,Laundry Day,contact via site / Ampere partner contact@ampere-antwerp.be,contact public verifie,https://dutchculture.nl/en/organisation/laundry-day
Leffingeleuren,Leffingeleuren,info@leffingeleurenfestival.be,verifie email,https://www.leffingeleurenfestival.be/
Bear Rock Festival,Bear Rock Festival,contact via site,a verifier,https://bear-rock.org/
I Love Techno Europe,I Love Techno Europe,contact via site,a verifier,https://www.ilovetechno.be/
Het Depot,Het Depot,info@hetdepot.be,verifie email,https://www.hetdepot.be/
