Pays,Date_evenement,Evenement,Categorie,Lieu,Ville,Organisateur,Contact_public,Site,Source_URL,Compatibilite_Nyllo,Priorite,Statut,Notes
Belgique,12-14 juillet 2025,Afro-Latino Festival,Afro-latino / world music,Thor Central / Thor Park,Genk,Afro-Latino Festival,info@afro-latino.be,https://afro-latino.be/,https://www.visitgenk.be/en/zien-doen/evenement/2504/-,Très forte,A,à contacter,"Afrique, Amérique latine, Caraïbes, Sud Europe"
Belgique,17-19 juillet 2026,Afro-Latino Festival,Afro-latino / world music,Thor Park,Genk,Afro-Latino Festival,info@afro-latino.be,https://afro-latino.be/,https://afro-latino.be/,Très forte,A,à contacter,Contact officiel disponible
Belgique,26-28 juin 2026,Couleur Café,World / afro / reggae / électro,Parc d Osseghem / Square de l Atomium,Bruxelles,Couleur Café,festival@couleurcafe.org,https://www.couleurcafe.be/,https://www.couleurcafe.be/fr/contact,Très forte,A,à contacter,Propositions artistes via festival@couleurcafe.org
Belgique,15-19 juillet 2026,Dour Festival,Électro / reggae / hip-hop / musiques actuelles,Dour Festival / rue d Elouges,Dour,Dour Music Festival SA,hello@dourfestival.eu,https://www.dourfestival.eu/,https://visitwallonia.be/fr-be/content/festival-de-musique-dour-le-dour-festival,Forte,A,à contacter,"Grand festival éclectique, scènes électro et reggae"
Belgique,10-12 juillet 2026,LaSemo,Festival pluridisciplinaire / musiques actuelles,Parc d Enghien,Enghien,LaSemo,formulaire contact,https://www.lasemo.be/,https://www.lasemo.be/,Forte,A,à vérifier,Candidatures musique visibles sur le site
Belgique,28-30 août 2026,Fiesta Latina Brussels,Latino / live / DJ / danse,Parc du Cinquantenaire,Bruxelles,BEE Groupe / Fiesta Latina,magenta@beegroupe.be,https://fiesta-latina.be/,https://fiesta-latina.be/,Très forte,A,à contacter,"Contact affiché pour stands, booking artiste à retrouver"
Belgique,01-02 mai 2026,Hangar Festival,Electronic music,Quai de Heembeek,Bruxelles,Hangar / The Hangar,lucas@thehangar.be,https://hangarfestival.be/,https://www.brussels.be/hangar-festival-2026,Bonne,B,à contacter,"Grand festival électronique, angle live organique | Enrichi auto 13/08/2026 : Contact_public=lucas@thehangar.be ; source https://hangarfestival.be/"
Belgique,28 mars 2026,Magma Festival,Electronic live / club culture,Les Halles de Schaerbeek,Bruxelles,Magma Collective,à vérifier,https://www.magma-collective.be/,https://www.magma-collective.be/events/magma-festival-2026,Très bonne,A,à vérifier,"Live et DJ sets, entre concert et club culture"
Belgique,01-03 mai 2026,Elektronik Zoo Festival,Techno / electronic,Gelbergenstraat 77,Kortenaken,Elektronik Zoo,contact@elektronikzoo.be,à compléter,https://www.uitinvlaanderen.be/agenda/e/elektronik-zoo-festival/386b882e-3412-4dbe-8e48-9296e6dbbd26,Bonne,B,à contacter,"Électro pure, proposer version live compact"
Belgique,04-05 juillet 2026,Beauville Festival,Techno / dance / house,Ooidonkdreef 9,Deinze,Beauville Festival,info@festivalsbelgie.be,à compléter,https://festivalsbelgie.be/festival/beauville-festival-2026-2026,Bonne,B,à contacter,"House, techno, retro sounds | Enrichi auto 13/08/2026 : Contact_public=info@festivalsbelgie.be ; source https://festivalsbelgie.be/festival/beauville-festival-2026-2026"
Belgique,08 août 2026,SkySound Festival,Electronic music,Kasteelstraat,Erps-Kwerps,SkySound Festival,contact@skysoundfestival.com,https://skysoundfestival.com/,https://skysoundfestival.com/,Bonne,B,à contacter,Festival électronique thème aviation
Belgique,11-12 juillet 2026,Festival Afrodisiac,Afro / danse / multidisciplinaire,Bois de la Cambre,Bruxelles,Festival Afrodisiac,Facebook / à vérifier,Facebook,https://www.bruxelles.be/festival-afrodisiac-2026,Forte,A,à vérifier,"Festival familial afro, concerts et ateliers"
Belgique,15-16 août 2026,BELONG World-Music Festival,World music / interculturel,Bâtiment 4,Esch-sur-Alzette,IWHO asbl / BELONG,via Esch Explore,à vérifier,https://explore.esch.lu/fr/agenda/event/belong-world-music-festival/,Forte,A,à vérifier,"Luxembourg, inclus ici aussi si besoin transfrontalier"
France,06 juin 2026,Waya Festival,Latino / electro world / cumbia / batucada,Parc Montcalm,Montpellier,Waya Festival,infos@wayafestival.com,https://wayafestival.com/,https://wayafestival.com/,Très forte,A,à contacter,"Reggaeton, Electro World, Cumbia, Afro-Caribéen, Latin Fusion, Batucada | Enrichi auto 13/08/2026 : Contact_public=infos@wayafestival.com ; source https://wayafestival.com/"
France,11-14 juin 2026,Clermont Afro Fest,Afro / cultures africaines,Place de la Victoire,Clermont-Ferrand,Clermont Afro Fest,via Linktree / réseaux,https://associations.clermont-ferrand.fr/evenement/festival-clermont-afrofest,https://associations.clermont-ferrand.fr/evenement/festival-clermont-afrofest,Forte,A,à vérifier,Festival gratuit pluridisciplinaire
France,02-05 juillet 2026,Soïo Mundo,World music / traditions / DJ sets,Parc Blandan,Lyon,CMTRA,à vérifier,https://www.cmtra.org/,https://www.cmtra.org/Nosactions/Diffusion/1558_SoyoMundo-3eydition.html,Très forte,A,à vérifier,"Kuduro, baile funk, reggaeton, latin, afrobeat dans la programmation"
France,04-14 juillet 2026,Festival des Cultures du Monde,World / cultures du monde,Parc du Verney,Chambéry,Festival de Chambéry,via site,https://www.festivalchambery.com/,https://www.festivalchambery.com/,Bonne,B,à vérifier,Festival gratuit cultures du monde
France,29 juin-05 juillet 2026,AFROBBEAN FEST,Afro-caribéen / danse / musique,Camping des Guifettes,Luçon,AFROBBEAN FEST,hello@afrobbeanfest.com,https://www.afrobbeanfest.com/,https://my.weezevent.com/afrobbean-fest,Forte,A,à contacter,Organisateurs visibles : Tizo et Brian
France,21 juin 2026,Fête du Gwoka,World / percussions / Guadeloupe,Place de la Nation,Paris,Gwokaradio,via gwokaradio.fr,https://fetedelamusique.culture.gouv.fr/,https://fetedelamusique.culture.gouv.fr/w/364732/evenement/19910571/fete-du-gwoka-place-des-antilles,Forte,B,à vérifier,Petit événement très cohérent percussions / tradition
