Nom_recherche,Lien_Facebook_Recherche,Zone,Categorie,Priorite,Objectif,Texte_conseille,Regle_a_verifier,Statut,Notes
Concerts Belgique,https://www.facebook.com/search/groups/?q=concerts%20Belgique,Belgique,concerts,A,"Trouver groupes qui partagent concerts et événements belges",publication générale,"Autopromotion artiste autorisée ?",à vérifier,"Chercher groupes actifs avec posts récents"
Concerts Bruxelles,https://www.facebook.com/search/groups/?q=concerts%20Bruxelles,Bruxelles,concerts,A,"Promouvoir dates cafés-concerts et petites salles",publication générale,"Posts d’artistes autorisés ?",à vérifier,"Priorité forte pour Nyllo basé en Belgique"
Sorties Bruxelles concerts spectacles,https://www.facebook.com/search/groups/?q=sorties%20Bruxelles%20concerts%20spectacles,Bruxelles,sorties / public local,A,"Toucher public local et organisateurs de petits événements",publication générale,"Lien externe autorisé ?",à vérifier,"Bon pour bars et spectacles publics"
Événements Bruxelles,https://www.facebook.com/search/groups/?q=%C3%A9v%C3%A9nements%20Bruxelles,Bruxelles,événements,A,"Repérer groupes d’événements généralistes",publication générale,"Pas de spam / fréquence de publication",à vérifier,"Publier seulement si musique bien acceptée"
Bons plans Bruxelles,https://www.facebook.com/search/groups/?q=bons%20plans%20Bruxelles,Bruxelles,sorties / public local,B,"Annoncer une date quand elle sera confirmée",publication courte public,"Autopromotion autorisée ?",à vérifier,"À utiliser après obtention d’une date"
Musiciens Belgique,https://www.facebook.com/search/groups/?q=musiciens%20Belgique,Belgique,musiciens,B,"Trouver collaborations, premières parties, plateaux",texte musiciens,"Annonces booking autorisées ?",à vérifier,"Approche réseau, pas vente directe"
Musiciens Bruxelles,https://www.facebook.com/search/groups/?q=musiciens%20Bruxelles,Bruxelles,musiciens,B,"Créer des contacts locaux avec groupes et collectifs",texte musiciens,"Posts de recherche de dates acceptés ?",à vérifier,"Bon pour scènes partagées"
Booking concert Belgique,https://www.facebook.com/search/groups/?q=booking%20concert%20Belgique,Belgique,booking,A,"Trouver programmateurs, bookers, lieux",texte booking,"Groupe professionnel ou petites annonces ?",à vérifier,"Très utile si groupe actif"
Programmation concerts Belgique,https://www.facebook.com/search/groups/?q=programmation%20concerts%20Belgique,Belgique,booking,A,"Trouver lieux et programmateurs",texte booking,"Règles strictes de prospection ?",à vérifier,"Demander admin si nécessaire"
Festivals Belgique,https://www.facebook.com/search/groups/?q=festivals%20Belgique,Belgique,festivals,A,"Repérer appels à artistes et festivals locaux",texte booking,"Appels à candidatures autorisés ?",à vérifier,"Complément à la base prospection"
Brésiliens en Belgique,https://www.facebook.com/search/groups/?q=br%C3%A9siliens%20en%20Belgique,Belgique,Brésil,A,"Toucher communauté brésilienne",texte Brésil,"Autopromotion culturelle autorisée ?",à vérifier,"Très compatible avec A SELVA"
Brésiliens à Bruxelles,https://www.facebook.com/search/groups/?q=br%C3%A9siliens%20%C3%A0%20Bruxelles,Bruxelles,Brésil,A,"Toucher communauté brésilienne locale",texte Brésil,"Publication en français / portugais ?",à vérifier,"Prévoir version bilingue courte"
Samba Belgique,https://www.facebook.com/search/groups/?q=samba%20Belgique,Belgique,samba / percussions,A,"Trouver réseaux samba, batucada, percussion",texte Brésil,"Posts concerts autorisés ?",à vérifier,"Très fort pour A SELVA"
Samba Bruxelles,https://www.facebook.com/search/groups/?q=samba%20Bruxelles,Bruxelles,samba / percussions,A,"Trouver danseurs, percussionnistes, lieux brésiliens",texte Brésil,"Règles événements ?",à vérifier,"Cible très naturelle"
Batucada Belgique,https://www.facebook.com/search/groups/?q=batucada%20Belgique,Belgique,percussions,A,"Trouver réseaux percussion brésilienne",texte musiciens,"Posts projets pros autorisés ?",à vérifier,"Possible collaboration ou plateau"
Forró Belgique,https://www.facebook.com/search/groups/?q=forr%C3%B3%20Belgique,Belgique,Brésil / danse,B,"Toucher danseurs brésiliens et organisateurs",texte Brésil,"Événements externes autorisés ?",à vérifier,"Bon public danse, moins booking"
Latinos en Belgique,https://www.facebook.com/search/groups/?q=latinos%20en%20Belgique,Belgique,latino,A,"Toucher publics et organisateurs latino",texte latino,"Autopromotion événement autorisée ?",à vérifier,"Très compatible"
Latinos Bruxelles,https://www.facebook.com/search/groups/?q=latinos%20Bruxelles,Bruxelles,latino,A,"Toucher scène latino bruxelloise",texte latino,"Posts concerts acceptés ?",à vérifier,"Mettre l’accent danse / Brésil"
Salsa Bachata Kizomba Belgique,https://www.facebook.com/search/groups/?q=salsa%20bachata%20kizomba%20Belgique,Belgique,danse latino,B,"Repérer organisateurs de soirées dansantes",texte latino,"Live music accepté ou seulement cours ?",à vérifier,"Utile pour afterparties et soirées danse"
Kizomba Belgique,https://www.facebook.com/search/groups/?q=kizomba%20Belgique,Belgique,danse afro-latine,B,"Toucher scène danse afro-latine",texte latino,"Pas trop éloigné du projet ?",à vérifier,"À utiliser pour événements danse"
Afro Belgique,https://www.facebook.com/search/groups/?q=afro%20Belgique,Belgique,afro / diaspora,A,"Toucher réseaux diaspora africaine et afrobeat",texte afro,"Autopromotion culturelle acceptée ?",à vérifier,"Angle afro-brésilien"
Afro Bruxelles,https://www.facebook.com/search/groups/?q=afro%20Bruxelles,Bruxelles,afro / diaspora,A,"Toucher événements afro bruxellois",texte afro,"Posts événements autorisés ?",à vérifier,"Très utile pour bars / festivals afro"
Afro House Belgium,https://www.facebook.com/search/groups/?q=afro%20house%20Belgium,Belgique,afro-house / club,B,"Toucher scène afro-house",texte électro-house,"Groupe DJ only ?",à vérifier,"Présenter A SELVA comme live organique"
Organic House Belgium,https://www.facebook.com/search/groups/?q=organic%20house%20Belgium,Belgique,organic house,B,"Toucher scène house organique",texte électro-house,"Live accepté ou DJ uniquement ?",à vérifier,"Bonne cible club"
House Music Belgium,https://www.facebook.com/search/groups/?q=house%20music%20Belgium,Belgique,house,B,"Toucher DJs, collectifs, clubs",texte électro-house,"Éviter groupe trop promo spam",à vérifier,"Approche courte avec vidéo live"
Techno Belgium,https://www.facebook.com/search/groups/?q=techno%20Belgium,Belgique,techno,C,"Tester angle live percussif techno organique",texte électro-house,"Groupe ouvert aux lives ?",à vérifier,"À utiliser avec prudence"
Global Bass Belgium,https://www.facebook.com/search/groups/?q=global%20bass%20Belgium,Belgique,global bass,A,"Trouver publics tropical bass / global club",texte électro-house,"Activité récente ?",à vérifier,"Très compatible mais peut être petit"
World Music Belgium,https://www.facebook.com/search/groups/?q=world%20music%20Belgium,Belgique,world music,A,"Trouver programmateurs et passionnés world",texte booking,"Posts artistes autorisés ?",à vérifier,"Très cohérent"
Musiques du monde Belgique,https://www.facebook.com/search/groups/?q=musiques%20du%20monde%20Belgique,Belgique,world music,A,"Trouver groupes francophones world",texte booking,"Règles d’annonce ?",à vérifier,"Priorité élevée"
Musiques du monde Bruxelles,https://www.facebook.com/search/groups/?q=musiques%20du%20monde%20Bruxelles,Bruxelles,world music,A,"Trouver lieux et publics bruxellois",texte booking,"Autopromotion ?",à vérifier,"À faire tôt"
Artistes Belgique,https://www.facebook.com/search/groups/?q=artistes%20Belgique,Belgique,artistes / réseau,C,"Réseau général artistes",texte réseau,"Musique acceptée ?",à vérifier,"Moins ciblé"
Événements culturels Belgique,https://www.facebook.com/search/groups/?q=%C3%A9v%C3%A9nements%20culturels%20Belgique,Belgique,culture / public local,B,"Toucher organisateurs culturels",publication générale,"Événements musicaux acceptés ?",à vérifier,"Bon pour centres culturels"
Centres culturels Belgique,https://www.facebook.com/search/groups/?q=centres%20culturels%20Belgique,Belgique,centres culturels,B,"Trouver relais et appels culturels",texte booking,"Groupe pro ou institutionnel ?",à vérifier,"Approche sobre"
Fête de la musique Belgique,https://www.facebook.com/search/groups/?q=f%C3%AAte%20de%20la%20musique%20Belgique,Belgique,fête de la musique,A,"Trouver appels et scènes publiques",texte booking,"Période de candidature ?",à vérifier,"Très utile pour dates publiques"
Open mic Bruxelles,https://www.facebook.com/search/groups/?q=open%20mic%20Bruxelles,Bruxelles,open mic / scène ouverte,C,"Trouver petites scènes et contacts lieux",texte musiciens,"Format adapté ?",à vérifier,"Peut mener à contacts bars"
Jam Bruxelles,https://www.facebook.com/search/groups/?q=jam%20Bruxelles,Bruxelles,jam / musiciens,B,"Trouver scènes ouvertes et collectifs",texte musiciens,"Jam compatible percussions ?",à vérifier,"Bon pour réseau local"
Concerts Wallonie,https://www.facebook.com/search/groups/?q=concerts%20Wallonie,Wallonie,concerts,B,"Trouver dates en Wallonie",publication générale,"Groupes actifs ?",à vérifier,"Mons, Namur, Liège, Charleroi"
Concerts Liège,https://www.facebook.com/search/groups/?q=concerts%20Li%C3%A8ge,Liège,concerts,B,"Trouver bars et petites salles liégeoises",publication générale,"Posts artistes ?",à vérifier,"Compléter avec lieux Liège"
Concerts Namur,https://www.facebook.com/search/groups/?q=concerts%20Namur,Namur,concerts,B,"Trouver bars et événements Namur",publication générale,"Règles du groupe",à vérifier,"Utile pour Ishango / Namur"
Concerts Mons,https://www.facebook.com/search/groups/?q=concerts%20Mons,Mons,concerts,A,"Trouver dates autour de Mons",publication générale,"Posts artistes autorisés ?",à vérifier,"Nyllo a déjà un lien Mars / Mons"
Concerts Charleroi,https://www.facebook.com/search/groups/?q=concerts%20Charleroi,Charleroi,concerts,B,"Trouver lieux publics et bars Charleroi",publication générale,"Groupe actif ?",à vérifier,"À explorer"
Concerts Anvers,https://www.facebook.com/search/groups/?q=concerts%20Antwerpen,Anvers,concerts / Flandre,B,"Trouver scène flamande",publication courte anglais,"Langue du groupe ?",à vérifier,"Prévoir anglais ou néerlandais simple"
Concerts Gent,https://www.facebook.com/search/groups/?q=concerts%20Gent,Gand,concerts / Flandre,B,"Trouver scène flamande",publication courte anglais,"Langue du groupe ?",à vérifier,"Bonne ville musicale"
