Jour,Date_prevue,Groupes_ou_recherches,Action,Texte,Statut,Resultat,Prochaine_action,Notes
Jour 1,2026-08-13,"Concerts Belgique ; Concerts Bruxelles ; Sorties Bruxelles concerts spectacles","Vérifier règles puis publier si autorisé","Général concerts",publié sur 3 groupes,"3 publications effectuées",Surveiller commentaires et messages,"Attendre les retours avant nouvelle vague"
Jour 2,,"Brésiliens en Belgique ; Brésiliens à Bruxelles ; Samba Belgique","Vérifier règles, demander admin si besoin","Brésil / samba",à faire,,,
Jour 3,,"Latinos en Belgique ; Latinos Bruxelles ; Salsa Bachata Kizomba Belgique","Publier si événements autorisés","Brésil / samba ou latino",à faire,,,
Jour 4,,"Afro Belgique ; Afro Bruxelles ; Afro House Belgium","Publier ou demander validation admin","Afro ou house / électro",à faire,,,
Jour 5,,"Concerts Mons ; Concerts Wallonie ; Concerts Liège","Publier si groupe actif","Général concerts",à faire,,,
Jour 6,,"Musiques du monde Belgique ; Musiques du monde Bruxelles ; World Music Belgium","Vérifier si groupe pro ou public","Booking / général concerts",à faire,,,
Jour 7,,"Pause suivi","Répondre aux commentaires et noter les contacts","Aucun",à faire,,,
Jour 8,,"Booking concert Belgique ; Programmation concerts Belgique ; Festivals Belgique","Demander autorisation si groupe professionnel","Booking",à faire,,,
Jour 9,,"Organic House Belgium ; House Music Belgium ; Global Bass Belgium","Vérifier si live accepté","House / électro",à faire,,,
Jour 10,,"Fête de la musique Belgique ; Centres culturels Belgique ; Événements culturels Belgique","Publier ou contacter admins","Général concerts",à faire,,,
Jour 11,,"Concerts Namur ; Concerts Charleroi ; Jam Bruxelles","Publier si règles ouvertes","Général concerts ou musiciens",à faire,,,
Jour 12,,"Concerts Anvers ; Concerts Gent ; Techno Belgium","Adapter en anglais simple si besoin","House / électro court",à faire,,,
Jour 13,,"Relances admin","Relancer seulement les admins sans réponse","Demande admin",à faire,,,
Jour 14,,"Bilan","Classer réponses et contacts intéressés","Aucun",à faire,,,


