Pays,Region,Departement,Ville,Nom,Type_fichier,Categorie,Contact_public,Telephone,Site,Source_URL,Styles_Nyllo,Segment_booking,Priorite,Statut,Action_recommandee,Notes,Fichier_source
France,Hauts-de-France,Nord,Lille,Mama Shelter Lille,after-party / bar / club / hotel,Hotel / restaurant / bar / DJ sets,food.lille@mamashelter.com,+33 3 59 82 72 02,https://mamashelter.com/lille/eat-drink/,https://mamashelter.com/lille/eat-drink/,house-music,DJ set / house music / club,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Hotel avec restaurant/bar et calendrier DJ sets/live entertainment ; contacter restaurant ou lille@mamashelter.com pour privatisation,After party France - Hauts-de-France Normandie - A SELVA Nyllo Canella.csv
France,Hauts-de-France,Nord,Lille,Mama Shelter Lille - hotel events,after-party / bar / club / hotel,Hotel / terrasse / events,lille@mamashelter.com,+33 3 59 82 72 00,https://all.accor.com/hotel/B1C1/index.en.shtml,https://all.accor.com/hotel/B1C1/index.en.shtml,world-music | house-music,DJ/live afro-world-house,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Contact réservation hôtel ; utile pour event global ou terrasse,After party France - Hauts-de-France Normandie - A SELVA Nyllo Canella.csv
France,Hauts-de-France,Nord,Lille,The View / Carlton Hotel,after-party / bar / club / hotel,Cocktail bar hotel / private party,bar@theviewlille.com,+33 3 20 13 33 13,https://www.theviewlille.com/en/private-events,https://www.theviewlille.com/en/private-events,house-music,DJ set / house music / club,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,"Bar du Carlton ; page privatisation et private events, afterwork et business event",After party France - Hauts-de-France Normandie - A SELVA Nyllo Canella.csv
France,Hauts-de-France,Nord,Lille,The View / Carlton Hotel - commercial,after-party / bar / club / hotel,Hotel bar / event commercial,commercial@carltonlille.com,+33 3 20 13 33 13,https://www.theviewlille.com/en/,https://www.theviewlille.com/en/,house-music,DJ set / house music / club,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Contact commercial pour demandes hors dates prévues et événements sur mesure,After party France - Hauts-de-France Normandie - A SELVA Nyllo Canella.csv
France,Hauts-de-France,Nord,Lille,Cafe Oz Lille,after-party / bar / club / hotel,Bar festif / DJ sets / privatisation,lille@cafe-oz.com,+33 3 59 05 34 06,https://cafe-oz.com/etablissement/cafe-oz-lille/,https://www.instagram.com/cafeozlille/,house-music,DJ set / house music / club,A,verifie email,Contacter en premier avec positionnement DJ/live afro house - world house.,Email public trouvé sur Instagram officiel ; Office de Tourisme Lille indique aussi téléphone principal et numéro privatisations/fournisseurs +33 3 59 57 94 59,After party France - Hauts-de-France Normandie - A SELVA Nyllo Canella.csv
France,Hauts-de-France,Nord,Lille,KaraFun Bar Lille,after-party / bar / club / hotel,Bar karaoke / private party,lille@karafunbar.com,03 74 09 08 00,https://www.karafunbar.com/fr/contact,https://www.karafunbar.com/fr/contact,house-music,DJ set / house music / club,B,à contacter,Contacter selon calendrier et disponibilite.,"Email et téléphone officiels ; adresse 8 rue Ratisbonne, 59000 Lille ; privatisation possible à partir de 30 personnes",After party France - Hauts-de-France Normandie - A SELVA Nyllo Canella.csv
France,Hauts-de-France,Nord,Lille,Clarance Hotel,after-party / bar / club / hotel,Hotel boutique / events,event@clarancehotel.com,+33 3 59 36 35 59,https://www.clarancehotel.com/en/page/seminar-event-lille.7907.html,https://www.clarancehotel.com/en/page/seminar-event-lille.7907.html,house-music,DJ set / house music / club,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Hotel 5 etoiles avec événements ; approche afterwork/private event chic,After party France - Hauts-de-France Normandie - A SELVA Nyllo Canella.csv
France,Hauts-de-France,Nord,Lille,Hermitage Gantois,after-party / bar / club / hotel,Hotel 5 etoiles / afterwork,reservation@gantoislille.com,+33 3 20 85 30 30,https://www.hotelhermitagegantois.com/fr/page/contact-hotel-lille-centre-ville.11414.html,https://www.hotelhermitagegantois.com/fr/page/contact-hotel-lille-centre-ville.11414.html,house-music,DJ set / house music / club,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Page dédiée afterwork + contact hotel officiel ; Marriott liste aussi hotel@gantoislille.com,After party France - Hauts-de-France Normandie - A SELVA Nyllo Canella.csv
France,Hauts-de-France,Nord,Lille,Grand Hotel Bellevue,after-party / bar / club / hotel,Hotel / bar / rooftop terrace,contact@grandhotelbellevue.com,+33 3 20 57 45 64,https://www.grandhotelbellevue.com/en/page/lille-centre-bar.24341.html,https://www.grandhotelbellevue.com/en/page/lille-centre-bar.24341.html,house-music,DJ set / house music / club,B,à contacter,Contacter selon calendrier et disponibilite.,Hotel avec bar et rooftop terrace ; vérifier capacité musique,After party France - Hauts-de-France Normandie - A SELVA Nyllo Canella.csv
France,Hauts-de-France,Nord,Lille,Le Musical,after-party / bar / club / hotel,Bar concerts / jams / DJ sets,lemusical@gmail.com,1756482732,https://www.lemusical.fr/,https://www.lemusical.fr/,house-music,DJ set / house music / club,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,"Bar de quartier avec événements réguliers, concerts et DJ ; déjà dans base bars | Enrichi auto 13/08/2026 : Telephone=1756482732 ; source https://www.lemusical.fr/",After party France - Hauts-de-France Normandie - A SELVA Nyllo Canella.csv
France,Hauts-de-France,Nord,Lille,Cafe Peacock,after-party / bar / club / hotel,Bar / concerts / DJ sets,lille@cafe-peacock.fr,1586784909,https://cafe-peacock.fr/,https://cafe-peacock.fr/en/nos-evenements/,house-music,DJ set / house music / club,B,à contacter,Contacter selon calendrier et disponibilite.,DJ sets et événements privés ; compatibilité moyenne mais exploitable | Enrichi auto 13/08/2026 : Telephone=1586784909 ; source https://cafe-peacock.fr/,After party France - Hauts-de-France Normandie - A SELVA Nyllo Canella.csv
France,Hauts-de-France,Nord,Lille,Les Sarrazins,after-party / bar / club / hotel,Cafe cooperatif / evenements culturels,contact@les-sarrazins.org,9999999999,https://les-sarrazins.org/,https://les-sarrazins.org/,house-music,DJ set / house music / club,B,à contacter,Contacter selon calendrier et disponibilite.,Lieu associatif/culturel ; plutôt petit format | Enrichi auto 13/08/2026 : Telephone=9999999999 ; source https://les-sarrazins.org/,After party France - Hauts-de-France Normandie - A SELVA Nyllo Canella.csv
France,Hauts-de-France,Nord,Lille,Le Bus Magique,after-party / bar / club / hotel,Cafe associatif / concerts,lebusmagique.lille@gmail.com,1785505817,https://lebusmagiquelille.fr,https://www.slowlille.fr/project/le-bus-magique/,house-music,DJ set / house music / club,B,à contacter,Contacter selon calendrier et disponibilite.,Péniche / tiers-lieu concerts ; bon format vivant | Enrichi auto 13/08/2026 : Telephone=1785505817 ; source https://lebusmagiquelille.fr,After party France - Hauts-de-France Normandie - A SELVA Nyllo Canella.csv
France,Hauts-de-France,Somme,Amiens,Air Beer'n'Bear,after-party / bar / club / hotel,Bar concerts / klub,airbeernbearklubhouse@gmail.com,1 1 0 0 0 13 10,https://www.airbeernbear.fr/,https://www.airbeernbear.fr/,house-music,DJ set / house music / club,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Bar concerts et événements ; contact public affiché dans base existante | Enrichi auto 13/08/2026 : Telephone=1 1 0 0 0 13 10 ; source https://www.airbeernbear.fr/,After party France - Hauts-de-France Normandie - A SELVA Nyllo Canella.csv
France,Hauts-de-France,Somme,Amiens,Network Bar,after-party / bar / club / hotel,Bar / privatisation,contact via site officiel / téléphone,09 70 35 03 94 / 06 30 02 85 47,https://www.network-bar-amiens.fr/,https://www.network-bar-amiens.fr/,house-music,DJ set / house music / club,B,à contacter,Contacter selon calendrier et disponibilite.,Bar festif Amiens avec DJ 2 à 3 fois par semaine ; formulaire officiel Réserver/Privatiser + téléphone 09 70 35 03 94 ; PagesJaunes affiche aussi 06 30 02 85 47.,After party France - Hauts-de-France Normandie - A SELVA Nyllo Canella.csv
France,Hauts-de-France,Somme,Amiens,Bar Maxime,after-party / bar / club / hotel,Bar / privatisation,barmaxime.privatisation@gmail.com,06 73 76 34 75,https://www.facebook.com/Barmaxime/,https://www.facebook.com/Barmaxime/,house-music,DJ set / house music / club,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Privatisation possible du lundi au samedi ; source Facebook publique,After party France - Hauts-de-France Normandie - A SELVA Nyllo Canella.csv
France,Hauts-de-France,Nord,Dunkerque,Estaminet Aux Aieux,after-party / bar / club / hotel,Belgian style bar / formulaire contact,contact via formulaire / téléphone,03 28 51 28 48,https://www.estaminetauxaieux.fr/en/address-contact/,https://www.estaminetauxaieux.fr/en/address-contact/,house-music,DJ set / house music / club,B,à contacter,Contacter selon calendrier et disponibilite.,Pas d’email direct trouvé ; formulaire officiel et téléphone 03 28 51 28 48 exploitables.,After party France - Hauts-de-France Normandie - A SELVA Nyllo Canella.csv
