Pays,Region,Departement,Ville,Nom,Type_fichier,Categorie,Contact_public,Telephone,Site,Source_URL,Styles_Nyllo,Segment_booking,Priorite,Statut,Action_recommandee,Notes,Fichier_source
France,Normandie,Calvados,Caen,The People Caen,after-party / bar / club / hotel,Rooftop bar / hotel-hostel / DJ sets,caen@thepeoplehostel.com,02 61 53 69 40,https://www.thepeoplehostel.com/en/bar-restaurant/bar-de-caen/,https://www.thepeoplehostel.com/en/bar-restaurant/bar-de-caen/,house-music,DJ set / house music / club,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Rooftop bar avec concerts live et DJ sets chaque semaine ; private events possibles,After party France - Hauts-de-France Normandie - A SELVA Nyllo Canella.csv
France,Normandie,Seine-Maritime,Le Havre,The People Rooftop Le Havre,after-party / bar / club / hotel,Rooftop bar / DJ sets / live concerts,lehavre.commercial@thepeoplehostel.com,01 81 22 40 89,https://www.thepeoplehostel.com/en/bar-restaurant/rooftop-le-havre/,https://www.thepeoplehostel.com/en/bar-restaurant/rooftop-le-havre/,house-music,DJ set / house music / club,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,"Rooftop avec DJ set, live music et privatisation ; très compatible",After party France - Hauts-de-France Normandie - A SELVA Nyllo Canella.csv
France,Normandie,Seine-Maritime,Le Havre,The People Bar / Birgit Hotel,after-party / bar / club / hotel,Rooftop bar / live music / events,lehavre@hotelbirgit.com,02 35 26 49 49,https://lehavre.hotelbirgit.com/en/le-rooftop-the-people-bar/,https://lehavre.hotelbirgit.com/en/le-rooftop-the-people-bar/,house-music,DJ set / house music / club,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,"Rooftop bar avec trois événements par semaine, live music et dancing",After party France - Hauts-de-France Normandie - A SELVA Nyllo Canella.csv
France,Normandie,Seine-Maritime,Le Havre,JOST Le Havre,after-party / bar / club / hotel,Hotel / foodcourt / bar / events,sales@jostlehavre.com,+33 6 07 91 57 42,https://en.jostlehavre.com/,https://en.jostlehavre.com/,house-music,DJ set / house music / club,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Contact commercial & event ; hôtel avec foodcourt bar events,After party France - Hauts-de-France Normandie - A SELVA Nyllo Canella.csv
France,Normandie,Seine-Maritime,Le Havre,JOST Le Havre - general,after-party / bar / club / hotel,Hotel / foodcourt / bar,hello@jostlehavre.com,+33 2 19 00 20 80,https://en.jostlehavre.com/,https://en.jostlehavre.com/,house-music,DJ set / house music / club,B,à contacter,Contacter selon calendrier.,Contact reception/foodcourt en complément,After party France - Hauts-de-France Normandie - A SELVA Nyllo Canella.csv
France,Normandie,Seine-Maritime,Rouen,So Rouen,after-party / bar / club / hotel,Bar restaurant club / afterworks,contact@so-rouen.com,+33 2 35 23 71 19,https://so-rouen.com/contact/,https://so-rouen.com/contact/,house-music,DJ set / house music / club,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,"Email officiel trouvé ; réservation club 06 68 75 23 27 ; adresse Quai Ferdinand de Lesseps Hangar 9, 76000 Rouen",After party France - Hauts-de-France Normandie - A SELVA Nyllo Canella.csv
France,Normandie,Seine-Maritime,Rouen,Le Bar'Ouf,after-party / bar / club / hotel,Bar musical / DJ set / privatisation,contact@joysevent.fr,06 86 11 90 00,https://www.seine-maritime-tourisme.com/en/offers/le-barouf-rouen-en-6432371/,https://www.instagram.com/p/DWqn7DRCITf/,house-music,DJ set / house music / club,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,"Adresse 11 bis rue de Fontenelle, 76000 Rouen ; email de privatisation trouvé via publication Instagram Joys Event ; téléphone tourisme conservé",After party France - Hauts-de-France Normandie - A SELVA Nyllo Canella.csv
France,Normandie,Calvados,Hérouville-Saint-Clair,Big Band Cafe,after-party / bar / club / hotel,Salle concert / bar / events,guillaume@bigbandcafe.com,02 31 47 49 48,https://bigbandcafe.com/scene-regionale/,https://bigbandcafe.com/scene-regionale/,house-music,DJ set / house music / club,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Contact scène régionale confirmé ; téléphone salle général 02 31 47 96 13 en complément.,After party France - Hauts-de-France Normandie - A SELVA Nyllo Canella.csv
France,Normandie,Orne,Alençon,La Luciole Bar / SMAC,after-party / bar / club / hotel,Bar salle concerts,infos@laluciole.org,02 33 32 83 33,https://www.laluciole.org/infos-pratiques/contact/,https://www.laluciole.org/infos-pratiques/contact/,house-music,DJ set / house music / club,B,à contacter,Contacter selon calendrier.,SMAC avec bar ; plutôt programmation concert que after party hotel/bar,After party France - Hauts-de-France Normandie - A SELVA Nyllo Canella.csv
France,Normandie,Calvados,Caen,Fête de la musique Région Normandie,bar spectacle / lieu public,Concerts publics / musiques actuelles,via site régional,,https://www.normandie.fr/,https://www.normandie.fr/fete-de-la-musique,world-music,world music / live hybrid,A,à vérifier,Contacter en premier avec positionnement DJ/live afro house - world house.,"8 groupes, musique du monde, pop électro, soul hip-hop, électro",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
