Pays,Nom,Ville / region,Type_fichier,Genres/Categorie,Contact,Telephone,Source URL,Styles_Nyllo,Segment_booking,Niveau_ciblage,Raison_ciblage,Action_recommandee,Statut,Notes
Pays-Bas,Lowlands,Biddinghuizen,festival,Pop / rock / hip-hop / electro / arts / generaliste international,i@v.axi,,https://www.lowlands.nl/,hors cible,hors cible principal,C hors cible / faible,pas de signal direct,Veille seulement sauf opportunite speciale.,verifie email,Grand festival MOJO
Pays-Bas,Pinkpop,Landgraaf,festival,Rock / pop / indie / rock-pop,vrijwilliger@pinkpop.nl,,https://www.pinkpop.nl/,hors cible,hors cible principal,C hors cible / faible,pas de signal direct,Veille seulement sauf opportunite speciale.,verifie email,Grand festival historique
Pays-Bas,North Sea Jazz,Rotterdam,festival,Jazz / soul / funk / world / jazz-soul,info@northseajazz.com,,https://www.northseajazz.com/en/contact,world-music,festival world music / global sounds,B compatible,world/global/afro-caribbean,Garder dans la liste utile; contacter si la programmation ouvre un creneau.,verifie email,"Email confirme sur page contact | Scraping: businesspartnership@mojo.nl, info@northseajazz.com"
Pays-Bas,Amsterdam Dance Event,Amsterdam,festival,Electronic / industry / showcase / showcase-pro,info@amsterdam-dance-event.nl,,https://www.amsterdam-dance-event.nl/en/faq-and-contact/,house-music,festival house music / electronique,B compatible,house/electro/club,Garder dans la liste utile; contacter si la programmation ouvre un creneau.,verifie email,"Evenement pro electro majeur; 1200+ events, 300+ locations selon ADE"
Pays-Bas,DGTL Amsterdam,Amsterdam,festival,Electronic / house / techno / electro-house,hello@dgtl-festival.com,,https://dgtl-festival.com/en/dgtl-amsterdam/,house-music,festival house music / electronique,B compatible,house/electro/club,Garder dans la liste utile; contacter si la programmation ouvre un creneau.,verifie email,Festival electronic/house/techno; email contact/press officiel
Pays-Bas,Awakenings,Amsterdam / Hilvarenbeek,festival,Techno / electronic / electro-techno,info@awakenings.nl,,https://www.awakenings.com/,house-music,festival house music / electronique,B compatible,house/electro/club,Garder dans la liste utile; contacter si la programmation ouvre un creneau.,verifie email,Techno majeur
Pays-Bas,Dekmantel Festival,Amsterdam,festival,Electronic / techno / experimental / electro-experimental,support@dekmantel.com,,https://dekmantel.com/pages/contact,house-music,festival house music / electronique,B compatible,house/electro/club,Garder dans la liste utile; contacter si la programmation ouvre un creneau.,verifie email,Festival electronic/techno/experimental; contact general officiel
Pays-Bas,Best Kept Secret,Hilvarenbeek,festival,Indie / alternative / pop / indie-alternatif,eventreservations@mobilelocker.eu,,https://www.bestkeptsecret.nl/,hors cible,hors cible principal,C hors cible / faible,pas de signal direct,Veille seulement sauf opportunite speciale.,verifie email,Indie international
Pays-Bas,Le Guess Who?,Utrecht,festival,Experimental / world / indie / avant-garde / world-experimental,info@leguesswho.com,,https://www.leguesswho.com/,world-music,festival world music / global sounds,B compatible,world/global/afro-caribbean,Garder dans la liste utile; contacter si la programmation ouvre un creneau.,verifie email,Tres pertinent world/experimental
Pays-Bas,Reggae Lake Festival,Amsterdam,festival,Reggae / dancehall / dub / reggae-world,info@kwakusummerfestival.nl,,https://reggaelake.nl/,world-music | house-music,festival world music / global sounds,A prioritaire,world/global/afro-caribbean; house/electro/club,Contacter avec proposition Nyllo adaptee au style dominant.,verifie email,Tres pertinent reggae
Pays-Bas,Amsterdam Roots Festival,Amsterdam,festival,World music / roots / global / world-music,info@amsterdamroots.nl,,https://www.amsterdamroots.nl/en/about-amsterdam-roots/anbi/,world-music,festival world music / global sounds,B compatible,world/global/afro-caribbean,Garder dans la liste utile; contacter si la programmation ouvre un creneau.,verifie email,World roots; contact fondation officiel
Pays-Bas,Kwaku Summer Festival,Amsterdam,festival,Afro / Caribbean / urban / world / afro-world,info@kwakusummerfestival.nl,,https://kwakufestival.nl/,bresil | world-music | afro-house,festival world percussions / bresil,A+ tres prioritaire,bresil/latin/caribbean; world/global/afro-caribbean; afro house/amapiano/afro,Contacter en premier avec angle A SELVA: afro/world/percussions ou Bresil + dancefloor.,verifie email,Afro/Caribbean/world; attention retour apres 2026 a verifier
Pays-Bas,Club Noir Amsterdam,Amsterdam,after-party / bar / club / salle,Club Afrobeats / Amapiano / after party,info@clubnoir-amsterdam.nl,+31 6 16705072,https://www.clubnoir-amsterdam.nl/,world-music | afro-house | house-music,after-party afro house / club house,A+ tres prioritaire,world/global/afro-caribbean; afro house/amapiano/afro; house/electro/club,Contacter en premier avec angle A SELVA afro house + world/percussions.,a contacter,Club oriente Afrobeats/Amapiano; bon profil pour after-party afro house.
Pays-Bas,Madam Amsterdam,Amsterdam,after-party / bar / club / salle,Skybar / nightclub / DJ sets,info@madamamsterdam.nl,,https://madamamsterdam.nl/,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.,a contacter,Skybar/nightclub dans A'DAM Tower; DJ sets vendredi/samedi; bon angle after-party.
Pays-Bas,Four Elements Hotel Sky Bar,Amsterdam,after-party / bar / club / salle,Hotel sky bar / private events / DJ,events@fourelementshotel.com,+31 20 714 20 40,https://fourelementshotel.com/skybar,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.,a contacter,Hotel sky bar avec live DJ vendredi/samedi et evenements prives/corporate.
Pays-Bas,SKYY Bar Amsterdam / WestCord Fashion Hotel,Amsterdam,after-party / bar / club / salle,Hotel bar / private events,groups.fashion@westcordhotels.nl,+31 20 810 0821,https://westcordhotels.com/restaurants/skyy-bar/,hors cible,hors cible principal,C hors cible / faible,pas de signal direct dans le fichier,Garder en veille sauf opportunite speciale.,a contacter,Bar d'hotel avec offres events/private floor; format adapte aux showcases et after-parties.
Pays-Bas,CIMA Rooftop Bar,Amsterdam,after-party / bar / club / salle,Rooftop bar / DJ / group events,cimamanagement@renaissanceamsterdam.com / GME@renaissanceamsterdam.com,+31 20 551 2042,https://cimarooftop.com/en,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.,a contacter,Rooftop avec DJ live vendredi/samedi; contacts groupes 8-25 et 25+.
Pays-Bas,Doka / Volkshotel,Amsterdam,after-party / bar / club / salle,Sound bar / DJ / live culture,reservations@volkshotel.nl,+31 20 261 2100,https://www.volkshotel.nl/en/doka/,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.,a contacter,Sound bar du Volkshotel; programmation DJ/live/culture; hotel venue interessant pour after-party.
Pays-Bas,Yellow House Amsterdam,Amsterdam,after-party / bar / club / salle,Event venue / bar / private booking,event@yellowhouse.amsterdam,020 531 22 55,https://yellowhouse.amsterdam/contact-us/,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.,a contacter,Booking events public; email general aussi disponible: info@yellowhouse.amsterdam.
Pays-Bas,Supperclub Amsterdam,Amsterdam,after-party / bar / club / salle,Club / private events / Afro house nights,sales@supper.nl / info@supper.nl,+31 6 28725217 / +31 20 2050 221,https://supper.nl/private-events/,bresil | afro-house | house-music,after-party afro house / club house,A+ tres prioritaire,bresil/latin/tropical; afro house/amapiano/afro; house/electro/club,Contacter en premier avec angle A SELVA afro house + world/percussions.,verifie email,"Club et private events; afro house/Latin house observe dans la programmation, mail direct non trouve. | Enrichi 13/08/2026 : Email sales officiel private events + WhatsApp/telephone."
Pays-Bas,LuminAir Amsterdam,Amsterdam,after-party / bar / club / salle,Rooftop bar / event space / DJ,reservations@luminairamsterdam.com / AMSCS_LuminAir@hilton.com,+31 20 530 0875,https://www.luminairamsterdam.com/program,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.,email secondaire,Rooftop avec programmation/DJ sounds; contact direct a completer via site. | Enrichi 13/08/2026 : Contacts publics reservations/venue ; pas de mail booking artiste direct.
