Pays,Nom,Type,Ville,Compatibilite,Priorite,Angle,Contact,Site,Source_URL,Statut,Notes
Belgique,Afro Latino Festival,Festival afro-latino,Genk,"Très forte : afro-latin, danse, percussion, énergie festival",A,Proposer A SELVA comme live hybride Samba Tech pour scène dansante ou afterparty,info@afro-latino.be,https://afro-latino.be/,https://afro-latino.be/en/contact/,à contacter,Contact général officiel trouvé
Belgique,Festival Latino Antwerpen,Festival latino,Anvers,"Très forte : culture latino-américaine, musique live, danse",A,A SELVA comme live brésilien moderne entre percussions et machines,info@festival-latino.be,https://festival-latino.be/,https://festival-latino.be/,à contacter,Éditions 2026 visibles : 20 juin et 15-16 août
Belgique,Fiesta Latina Brussels,Festival latino,Bruxelles,"Très forte : festival latino grand public, scènes multiples",A,Proposer un live tropical électro-percussif pour scène ou afterparty,magenta@beegroupe.be,https://fiesta-latina.be/en/,https://fiesta-latina.be/en/,à contacter,Édition 28-30 août 2026 au Parc du Cinquantenaire | Enrichi auto 13/08/2026 : Contact=magenta@beegroupe.be ; source https://fiesta-latina.be/en/
Belgique,Festival Andalucía,Festival latino-espagnol,Oupeye,"Forte : traditions latino-américaines, concerts live, spectacles",A,Positionner A SELVA côté Brésil / afro-latin moderne,info@festival-andalucia.be,https://www.festival-andalucia.be/,https://www.festival-andalucia.be/,à contacter,Édition 10-13 septembre 2026 | Enrichi auto 13/08/2026 : Contact=info@festival-andalucia.be ; source https://www.festival-andalucia.be/
Belgique,HAASte Töne?!,Festival arts de rue et world music,Eupen,"Forte : world music, danse, rue, public familial",A,A SELVA pour ouverture world music ou final dansant,info@sunergia.be,https://haastetoene.be,https://www.ostbelgien.eu/en/events/fiche/2026-08-21/haaste-tone-street-theatre,à contacter,"Édition 21-23 août 2026, organisé par Chudoscnik Sunergia | Enrichi auto 13/08/2026 : Contact=info@sunergia.be ; source https://haastetoene.be"
Belgique,Wereldfestival Izegem,World festival,Izegem,"Très forte : world music, groupes internationaux",A,Proposer A SELVA comme live brésilien électro-organique,artistiek@wereldfestival.be,https://www.wereldfestival.be/,https://www.wereldfestival.be/contact/,à contacter,Email artistique officiel disponible
Belgique,Listen Festival,Festival électronique,Bruxelles,"Bonne : électronique alternative, club culture, ouverture aux sons hybrides",B,"Mettre en avant machines, live modulaire, performance club organique",info@listenfestival.eu,https://www.listenfestival.be/,https://www.idlm.be/fr/profils/6164-listen,à contacter,"Cible plus électro que latino, bon angle club culture"
Belgique,Maison des Musiques,Lieu / réseau musique,Bruxelles,"Bonne : lieu culturel, musiques actuelles et projets hybrides",B,Proposer une date showcase / rencontre / concert world-électro,info@conseildelamusique.be,https://www.conseildelamusique.be/,https://www.conseildelamusique.be/pages-projet/67-infos-pratiques,à contacter,Bon relais professionnel à Bruxelles
Belgique,Centre Culturel de Dour,Centre culturel,Dour,Bonne : centre culturel avec programmateur identifié,B,Proposer A SELVA en concert debout / événement culturel / Fête de la musique,coordination@centrecultureldour.be,https://centrecultureldour.be/,https://centrecultureldour.be/nous-contacter/,à contacter,Programmateur : Guillaume Delcourt
Belgique,Belgian World Music Network,Réseau professionnel,Belgique,"Forte comme relais réseau, pas forcément date directe",B,"Demander relais, conseil prospection et opportunités world music",info@bwmn.be,https://bwmn.be/,https://bwmn.be/contact/,à contacter,Réseau utile pour crédibiliser A SELVA
Belgique,Fête de la Musique Bruxelles / BX.CULTURE,Événement urbain électro,Bruxelles,"Bonne : scène électro locale, block party",B,"A SELVA pour format live électro-percussion, extérieur ou afterparty",info@bxculture.be,https://www.fetedelamusique.be/,https://www.fetedelamusique.be/decost,à contacter,Source montre un événement électro 2026 avec contact organisation
France,Villes des Musiques du Monde,Festival musiques du monde,Seine-Saint-Denis / Île-de-France,"Très forte : musiques du monde, cultures populaires, rythmes afro-latins",A,A SELVA comme pont Brésil / club culture / transe contemporaine,contact via formulaire / 01 48 36 34 02,https://www.villesdesmusiquesdumonde.com/,https://www.villesdesmusiquesdumonde.com/contact/,à contacter,Formulaire officiel + téléphone association ; bon contact pour Le Point Fort Aubervilliers et festival.
France,"Les Suds, à Arles",Festival musiques du monde,Arles,"Très forte : musiques du monde, créations, stages",A,A SELVA pour concert nocturne / stage percussion Samba Tech,contact@suds-arles.com,https://www.suds-arles.com/,https://www.suds-arles.com/,à contacter,Cible prioritaire à compléter par contact officiel | Enrichi auto 13/08/2026 : Contact=contact@suds-arles.com ; source https://www.suds-arles.com/
France,Musiques et Gastronomie du Monde,Festival world music,Saint-Palais-sur-Mer,Forte : concerts world music et cuisines du monde,A,A SELVA comme live brésilien festif et dansant,animation@stpalaissurmer.fr,https://www.festivalmusiquesetgastronomiedumonde.fr/,https://www.festivalmusiquesetgastronomiedumonde.fr/,à contacter,Email officiel du festival/Ville de Saint-Palais-sur-Mer.
France,Banana Festival,Festival musique tropical / reggae / électro,Labenne,"Forte : vibes tropicales, reggae, hip-hop, électro",A,A SELVA pour scène tropicale ou fin de soirée électro-organique,contact@banana-festival.fr,https://banana-festival.fr/,https://banana-festival.fr/,à contacter,24-25 juillet 2026 | Enrichi auto 13/08/2026 : Contact=contact@banana-festival.fr ; source https://banana-festival.fr/
France,FEST AF Saint-Louis,Festival africain et interculturel,Saint-Louis,"Forte : percussions, cultures africaines, interculturel",B,A SELVA comme dialogue afro-brésilien / percussions / danse,festafedition05@gmail.com,https://festaf.org,https://www.jds.fr/saint-louis/manifestations/festival/fest-af-2026-5e-edition-1585417_A,à contacter,Édition 8-12 juillet 2026
France,AFROBBEAN FEST,Festival afro-caribéen,Luçon,"Bonne : diaspora afro-caribéenne, musique, danse, fiesta",B,A SELVA comme performance afro-brésilienne électro-live,hello@afrobbeanfest.com,https://www.afrobbeanfest.com/,https://my.weezevent.com/afrobbean-fest,à contacter,Édition 29 juin-5 juillet 2026
France,L Afrique Festival,Festival cultures africaines et diaspora,France,"Bonne : diaspora, cultures africaines, musique",B,Proposer la connexion afro-brésilienne et la transe percussive,info@lafriquefestival.com,https://lafriquefestival.com/,https://lafriquefestival.com/contact,à contacter,"Relais diaspora, vérifier programmation musicale"
France,Festival de Bouche à Oreille,Festival musiques actuelles / cumbia,Orgelet,"Bonne : cumbia, beats électroniques, percussions",B,Positionner A SELVA près des esthétiques cumbia électro / percussions,contact@adapemont.fr,https://animation5814.wixsite.com/festival-jura,https://animation5814.wixsite.com/festival-jura/events/2026-03-03,à contacter,Source montre Cumbia Boom Box en 2026
France,Terrasses du Bel-Air,Festival / soirées world-cumbia,Avallon,"Bonne : cumbia, groove planétaire, percussions",B,A SELVA comme proposition brésilienne électro-percussive,terrassesdubelair@gmail.com / 06 15 04 02 40,https://www.terrassesdubelair.fr/,https://www.terrassesdubelair.fr/,à contacter,Email et téléphone association confirmés.
France,Le Chinois,Club / salle musiques globales,Montreuil,"Bonne : cumbia, club, scènes hybrides",B,Proposer A SELVA en soirée global bass / cumbia / tropical club,lechinoisdemontreuil@gmail.com,https://www.lechinoisdemontreuil.com/,https://le-chinois.tumblr.com/,à contacter,Contact programmation trouvé ; Facebook indique aussi bonjour.lechinois93@gmail.com.
France,Studio de l’Ermitage,Salle world / jazz / musiques actuelles,Paris,Très forte : lieu habitué aux projets brésiliens et world,A,A SELVA en plateau Samba Tech / Brésil contemporain,studioermitage@gmail.com,https://www.studio-ermitage.com/,https://www.billetweb.fr/cumbia-ya40,à contacter,Nyllo y a déjà joué avec Sages comme des Sauvages | Enrichi auto 13/08/2026 : Contact=studioermitage@gmail.com ; source https://www.studio-ermitage.com/
France,Ménilmontant Productions,Agence / organisateur global beats,Paris,"Forte : world music, global beats, cumbia, Balkan",B,Proposer A SELVA comme projet global beats brésilien pour soirées ou tournées,+33 1 43 79 90 46 / +33 7 68 38 51 17,https://menilmontantproductions.wordpress.com/,https://menilmontantproductions.wordpress.com/contact/,à contacter,"Pas d’email public trouvé ; téléphone et adresse 13 rue du Repos, 75020 Paris."
France,Festival TOP,Festival culturel,Digne-les-Bains,Moyenne à bonne : accueille cumbia / world fusion,C,A SELVA pour proposition découverte world-électro,cooperative@letop04.org / 07 48 24 22 00,https://letop04.org/,https://letop04.org/contact,à contacter,Email et téléphone Le TOP / Festival au TOP confirmés.
France,Bass’in Vallées,Festival bass music,Cantenay-Épinard,"Moyenne : plus bass music, mais possible angle live électro organique",C,A SELVA en proposition live organique pour ouverture ou scène alternative,contact@bassinvallees.fr,https://bassinvallees.fr/,https://www.helloasso.com/associations/bass-in-vallees/evenements/bass-in-vallees-2026,à contacter,À tenter si prospection électro élargie | Enrichi auto 13/08/2026 : Contact=contact@bassinvallees.fr ; source https://bassinvallees.fr/
Belgique,XRDS Festival,Festival techno / house,Bruxelles,"Bonne : techno, house, breaks, festival ouvert aux sons aventureux",B,"Présenter A SELVA comme live percussif et organique, adapté à une scène leftfield house / breaks",info@xrds.be,https://www.xrds.be/,https://www.xrds.be/,à contacter,"Festival 14-15 août 2026, curaté par Fuse | Enrichi auto 13/08/2026 : Contact=info@xrds.be ; source https://www.xrds.be/"
Belgique,Elektronik Zoo Festival,Festival techno,Kortenaken,"Moyenne à bonne : pure electronic music, techno, cadre open air",B,"Proposer A SELVA comme live organique pour ouverture ou scène alternative, pas comme DJ set techno classique",contact@elektronikzoo.be,à compléter,https://www.uitinvlaanderen.be/agenda/e/elektronik-zoo-festival/386b882e-3412-4dbe-8e48-9296e6dbbd26,à contacter,"Festival 1-3 mai 2026, contact officiel affiché"
Belgique,Tendance Festival,Festival house / dance,Kapellen,Bonne : festival dance / house grand public,B,A SELVA comme live tropical house organique avec percussions brésiliennes,info@tendancefestival.be,https://tendancefestival.be/,https://tendancefestival.be/contact/,à contacter,"Festival 1 août 2026, contact officiel affiché"
Belgique,Moche In Festival,Festival alternatif / DJ set / techno-house,Bruxelles / Molenbeek,"Bonne pour formats émergents et hybrides, programmation ouverte",B,"Proposer A SELVA comme live audacieux entre club, percussions et transe tropicale",mocheinfestival@gmail.com,https://mocheinfestival.be/,https://mocheinfestival.be/,à contacter,Festival 11-12 septembre 2026 à LaVallée
Belgique,ProPulse,Showcase professionnel musiques actuelles,Gembloux,"Bonne : événement professionnel, programmateurs, artistes émergents",A,Candidater A SELVA en showcase professionnel pour toucher programmateurs belges,propulse@asspropro.be,https://propulsefestival.be/,https://propulsefestival.be/contact/,à contacter,"Contacts détaillés : projet, artistes, programmateur·ices"
France,Le Cube,Festival house,Rennes,"Bonne : house, art visuel, cultures alternatives",B,A SELVA comme live house organique / Samba Tech pour scène alternative,votre@email.com,https://www.lecubeevent.fr/,https://www.lecubeevent.fr/,à contacter,Spring Edition 5-6 juin 2026 | Enrichi auto 13/08/2026 : Contact=votre@email.com ; source https://www.lecubeevent.fr/
France,Touquet Music Beach Festival,Festival électro / beach,Le Touquet,"Moyenne à bonne : gros festival électro, tremplin DJ plutôt set",C,Tenter seulement si format live électro accepté ; adapter en version set live compact,billetterie@touquetmusicbeach.com,https://www.touquetmusicbeach.com/,https://www.touquetmusicbeach.com/fr/nouvelles/tremplin-dj,à contacter,"Tremplin DJ 2026, date limite 28 avril 2026 | Enrichi auto 13/08/2026 : Contact=billetterie@touquetmusicbeach.com ; source https://www.touquetmusicbeach.com/"
France,REVIVAL Paris,Collectif électro / club,Paris,"Bonne : tech house, indie dance, open air, underground",B,Proposer A SELVA en live invité pour open air ou club night global / percussive,amitula@amplitudeproductions.com,https://wearerevival-music.com/,https://wearerevival-music.com/,à contacter,"Collectif électro parisien, booking affiché"
France,Belfield Festival,Festival DJ / électro,Caussade,Bonne : accepte press kit et mixs artistes / booking,B,Envoyer EPK A SELVA avec vidéo live et angle afro-house / organique,contact@belfield-festival.fr,https://belfield-festival.fr/,https://belfield-festival.fr/pages/contact.html,à contacter,"Festival 14-15 août 2026, contact unique"
France,Groove Club Agency,Agence house / club,Lille / Paris / Bordeaux,Bonne : booking et direction artistique house music,B,Proposer A SELVA comme live hybride pour programmation house organique / afro-house,contact@grooveclubagency.com,https://grooveclubagency.com/,https://grooveclubagency.com/,à contacter,Contact aussi visible : clubgroove.fr@gmail.com
France,ElectroGreen Festival,Festival électro itinérant,France,"Bonne : électro, expériences collectives, artistes émergents",B,A SELVA comme performance électro organique avec percussion live,electrogreenfestival@gmail.com,https://www.electrogreenfestival.fr/,https://www.electrogreenfestival.fr/,à contacter,"2 à 3 éditions par an, téléphone affiché"
