Pays,Region,Ville,Lieu,Type,Email,Telephone,Adresse,Site,Source_URL,Compatibilite_Nyllo,Priorite,Statut,Notes
Belgique,Bruxelles,Bruxelles,Botanique,Centre culturel / concerts,info@botanique.be,+32 2 218 37 32,"Rue Royale 236, 1210 Bruxelles",https://botanique.be/,https://botanique.be/fr/contact,Très forte,A,à contacter,Salle concert et centre culturel ; bon pour world/electro/live
Belgique,Bruxelles,Bruxelles,Ancienne Belgique,Salle de concerts,info@abconcerts.be,02 548 24 84,"Boulevard Anspach 110, 1000 Bruxelles",https://www.abconcerts.be/,https://www.abconcerts.be/en/contact,Très forte,A,à contacter,Grande salle musiques actuelles ; demander relais programmation
Belgique,Bruxelles,Bruxelles,Bozar,Centre for Fine Arts / musique / arts vivants,info@bozar.be,+32 2 507 84 30,"Rue Ravenstein 23, 1000 Bruxelles",https://www.bozar.be/,https://www.bozar.be/fr/node/5153,Forte,A,à contacter,Contact général ; demander transfert vers Music Strategy & Programming
Belgique,Bruxelles,Etterbeek,Le Senghor,Centre culturel / programmation,reservation@senghor.be,02 230 31 40,"366 chaussée de Wavre, 1040 Etterbeek",https://www.senghor.be/,https://www.senghor.be/infos-pratiques/acces-contact/,Forte,A,à contacter,"Centre culturel ; email billetterie/contact, demander programmation"
Belgique,Bruxelles,Etterbeek,Le Senghor - programmation théâtre,Programmation théâtre,e.poznanski@senghor.be,02 230 31 40,"366 chaussée de Wavre, 1040 Etterbeek",https://www.senghor.be/,https://www.senghor.be/le-senghor/equipe/,Bonne,B,à contacter,Contact nominatif programmatrice théâtre ; utiliser si le contact général ne répond pas
Belgique,Bruxelles,Bruxelles,Centre Culturel Bruegel,Centre culturel,info@ccbruegel.be,02 503 42 68,"Rue des Renards 1F, 1000 Bruxelles",https://ccbruegel.be/,https://ccbruegel.be/infos-pratiques/,Forte,A,à contacter,Centre culturel Bruxelles ; bon contact général
Belgique,Bruxelles,Bruxelles,Centre Culturel Bruegel - direction,Direction centre culturel,martin.smets@ccbruegel.be,02 503 42 68,"Rue des Renards 1F, 1000 Bruxelles",https://ccbruegel.be/,https://ccbruegel.be/infos-pratiques/,Bonne,B,à contacter,Contact direction ; utiliser en relance ciblée
Belgique,Bruxelles,Bruxelles,Atelier 210,Salle / théâtre / musique,eve@atelier210.be,+32 2 732 25 98,"Chaussée Saint-Pierre 210, Bruxelles",https://atelier210.be/,https://atelier210.be/infos/contact/,Très forte,A,à contacter,Téléphone confirmé via Visit Brussels/Facebook ; emails musique et production déjà exploitables.
Belgique,Bruxelles,Bruxelles,Atelier 210 - concerts,Production concerts,sarah@atelier210.be,+32 2 732 25 98,"Chaussée Saint-Pierre 210, Bruxelles",https://atelier210.be/,https://atelier210.be/infos/contact/,Très forte,A,à contacter,Téléphone confirmé via Visit Brussels/Facebook ; contact production concerts déjà exploitable.
Belgique,Wallonie,Charleroi,Eden Charleroi,Centre culturel / musiques actuelles,info@eden-charleroi.be,071 202 995,"1-3 Boulevard Jacques Bertrand, 6000 Charleroi",https://www.eden-charleroi.be/,https://www.eden-charleroi.be/eden/equipe/,Très forte,A,à contacter,Centre culturel avec programmation musiques actuelles
Belgique,Wallonie,Charleroi,Eden Charleroi - programmation musiques,Programmation musiques actuelles,info@eden-charleroi.be,071 202 980,"1-3 Boulevard Jacques Bertrand, 6000 Charleroi",https://www.eden-charleroi.be/,https://www.eden-charleroi.be/eden/equipe/,Très forte,A,à contacter,La page cite Nathalie De Lattre comme programmatrice musiques actuelles mais l'email nominatif n'est pas visible
Belgique,Wallonie,Namur,Le Delta,Espace culturel provincial,info@ledelta.be,081 77 67 73,"Avenue Fernand Golenvaux 18, 5000 Namur",https://www.ledelta.be/,https://www.ledelta.be/infos-pratiques/contacts/,Très forte,A,à contacter,"Espace culturel majeur à Namur ; concerts, expos, location salles"
Belgique,Wallonie,Mons,Mars - Mons arts de la scène,Arts de la scène / lieux culturels,public@surmars.be,+32 65 39 59 39,"Rue de Nimy 106, 7000 Mons",https://surmars.be/,https://surmars.be/infos-pratiques/contact,Forte,A,à contacter,"Mars gère plusieurs lieux : Théâtre le Manège, Maison Folie, Arsonic, Théâtre Royal"
Belgique,Wallonie,Mons,La P'tite Maison Folie,Espace culturel / tiers-lieu,info@maisonfolie.be,+32 65 39 59 12,"Rue de Nimy 46, 7000 Mons",https://maisonfolie.surmars.be/,https://maisonfolie.surmars.be/,Très forte,A,à contacter,Espace ouvert et salles réservables ; bon format after/workshop/live
Belgique,Flandre,Anvers / Borgerhout,De Roma,Salle de concerts / culture,info@deroma.be,+32 3 600 16 70,"Turnhoutsebaan 286, 2140 Borgerhout",https://www.deroma.be/,https://www.deroma.be/en/your-visit/contact,Très forte,A,à contacter,Grande salle ; contact général
Belgique,Flandre,Anvers / Borgerhout,De Roma - accueil,Balie / contact salle,balie@deroma.be,+32 3 600 16 70,"Turnhoutsebaan 286, 2140 Borgerhout",https://www.deroma.be/,https://www.deroma.be/en/your-visit/contact,Bonne,B,à contacter,Contact accueil ; demander relais programmation
Belgique,Flandre,Gand,VIERNULVIER / Vooruit,Kunstencentrum / arts vivants,info@viernulvier.gent,09 267 28 20,"Sint-Pietersnieuwstraat 23, 9000 Gent",https://www.viernulvier.gent/,https://www.viernulvier.gent/,Forte,A,à contacter,Centre artistique majeur à Gand ; demander relais programmation
Belgique,Flandre,Leuven,Het Depot,Salle de concerts / musique,info@hetdepot.be,+32 16 22 06 03,"Martelarenplein 12, 3000 Leuven",https://www.hetdepot.be/,https://www.hetdepot.be/general-conditions,Forte,A,à contacter,Email et téléphone confirmés par page contact Het Depot / Leuven Convention Bureau.
Belgique,Flandre,Genk,C-mine,Centre culturel / arts / musique,c-mine@genk.be,+32 89 65 44 90,"C-Mine 10, 3600 Genk",https://c-mine.be/,https://c-mine.be/,Forte,A,à contacter,Centre culturel de Genk ; bon relais Limbourg
Belgique,Flandre,Ostende,De Grote Post,Cultuurcentrum / espace culturel,benieuwd@degrotepost.be,059 56 85 00,"H. Serruyslaan 18A, 8400 Oostende",https://www.degrotepost.be/,https://www.degrotepost.be/contact-de-grote-post-oostende-jg6y,Forte,A,à contacter,Centre culturel et eventlocatie ; bon relais côte belge
Belgique,Flandre,Bruges,Cactus Muziekcentrum,Salle / musique actuelle,info@cactusmusic.be,+32 50 33 20 14,"Bargeweg 10, 8000 Brugge",https://cactusmusic.be/,https://www.cactusmusic.be/EN/Info/contact,Très forte,A,à contacter,Musiques actuelles ; très compatible live/world/electro
