Ville,Region,Service,Type_contact,Contact_nom,Email,Telephone,Adresse,Site,Source_URL,Priorite,Statut,Notes
Bruxelles,Bruxelles,Service de la Culture,Programmation / culture,Ville de Bruxelles,culture@brucity.be,02 279 64 20,"Centre Administratif Brucity, Rue des Halles 4, 1000 Bruxelles",https://www.bruxelles.be/culture,https://www.bruxelles.be/departement-culture-jeunesse-sports,A,à contacter,Service culture officiel ; utile pour programmation culturelle
Bruxelles,Bruxelles,Cellule Évènements,Événements publics,Ville de Bruxelles,events@brucity.be,02 279 50 41,"Centre Administratif Brucity, Rue des Halles 4, 1000 Bruxelles",https://www.bruxelles.be/organisation-evenement,https://www.bruxelles.be/directory-2077,A,à contacter,Concerts et événements dans l’espace public ; Open Air 2026
Bruxelles,Bruxelles,Visit Brussels Agenda,Promotion agenda culturel,visit.brussels,partner.services@visit.brussels,+32 2 513 89 40,"Rue Royale 2-4, 1000 Bruxelles",https://www.visit.brussels/,https://www.visit.brussels/fr/professionnels/partners/faq-partenaires/partenaires-culturels,B,à contacter,Pour encoder / promouvoir une date culturelle à Bruxelles
Ixelles,Bruxelles,Service Culture,Programmation / salles / soutien,Commune d’Ixelles,culture@ixelles.brussels,02 515 64 63,"Rue Mercelis 19, 1050 Bruxelles",https://culture.ixelles.be/fr/soutien/,https://culture.ixelles.be/fr/soutien/,A,à contacter,Le service propose une programmation culturelle dans ses salles et l’espace public
Ixelles,Bruxelles,Cellule événements,Événements publics,Commune d’Ixelles,events@ixelles.brussels,à compléter,"Ixelles, Bruxelles",https://culture.ixelles.be/,https://lesamisdmamere.be/rouverture-des-lieux-culturels-et-organisation-devenements-a-ixelles/,B,à contacter,Pour événements sur voie publique / autorisation ; source secondaire à confirmer | Contact recoupé depuis autre fichier booking le 13/08/2026.
Saint-Gilles,Bruxelles,Service Culture,Programmation / Fête de la Musique,Juliette Roussel,culture@stgilles.brussels,+32 2 534 56 05,"Place M. Van Meenen 39, 1060 Saint-Gilles",https://stgilles.brussels/services/culture/,https://stgilles.brussels/services/culture/,A,à contacter,Service Culture ; Fête de la Musique et événements publics
Saint-Gilles,Bruxelles,Service Culture - Maison des Cultures,Programmation culturelle,Juliette Roussel,jroussel@stgilles.brussels,02 534 56 05,Saint-Gilles,https://www.saintgillesculture.brussels/,https://mdc1060.brussels/organisateur/service-de-la-culture-de-la-commune-de-saint-gilles/,A,à contacter,Contact direct organisateur Culture Saint-Gilles
Schaerbeek,Bruxelles,Culture Française,Programmation / culture locale,Service Culture,culture@1030.be,02 240 34 99,"Maison des Arts, 147 chaussée de Haecht, 1030 Schaerbeek",https://www.1030.be/,https://www.1030.be/fr/annuaire-des-services-communaux/culture-francaise,A,à contacter,"Programmation pour citoyens, artistes et acteurs culturels locaux"
Forest,Bruxelles,Service événements / promotion,Événements publics,Commune de Forest,infoforest@forest.brussels,02 370 22 11,"Rue du Curé 2, 1190 Forest",https://forest.brussels/,https://forest.irisnet.be/fr/demarches/culture-evenements/demander-lautorisation-pour-un-evenement,B,à contacter,Pour promotion d’événement via réseaux sociaux / agenda ; formulaire pour autorisation
Molenbeek,Bruxelles,Service Culture francophone,Programmation / culture locale,Commune de Molenbeek,culture.1080@molenbeek.irisnet.be,02 415 86 03,"Rue Mommaerts 4, 1080 Bruxelles",https://www.molenbeek.irisnet.be/,https://www.molenbeek.irisnet.be/fr/je-visite/culture/service-de-la-culture-francophone,A,à contacter,"Organisation de manifestations culturelles, concerts, expositions"
Molenbeek,Bruxelles,Service Événements,Événements publics,Commune de Molenbeek,festivites.1080@molenbeek.irisnet.be,02 563 00 72 / 02 563 00 71,"Rue Comte de Flandre 20, 1080 Bruxelles",https://www.molenbeek.irisnet.be/,https://www.molenbeek.irisnet.be/nl/ik-bezoek/evenementen/dienst-evenementen,B,à contacter,Soutient les associations dans leurs projets d’événements
Anderlecht,Bruxelles,Service Événements,Événements publics,Commune d’Anderlecht,eventanderlecht@anderlecht.brussels,02 436 65 30 / +32 499 96 62 07 / +32 498 58 88 95,"Rue de Birmingham 225, 1070 Anderlecht",https://www.anderlecht.be/,https://anderlecht.be/index.php/fr/node/271,A,à contacter,"Service événements, demandes d’événements publics"
