Nom_groupe,Lien_Facebook,Pays,Ville_ou_region,Categorie,Membres_visibles,Publication_autorisee,Validation_admin,Contact_admin,Regles_resumees,Priorite,Texte_a_utiliser,Date_publication,Statut,Reponse,Notes
Concerts Belgique,https://www.facebook.com/search/groups/?q=concerts%20Belgique,Belgique,Belgique,concerts Belgique,à vérifier,à vérifier,à vérifier,à vérifier,"Chercher le groupe exact dans Facebook ; vérifier autopromotion",A,publication générale,,à vérifier,,"Requête prioritaire : concerts Belgique"
Concerts Bruxelles,https://www.facebook.com/search/groups/?q=concerts%20Bruxelles,Belgique,Bruxelles,concerts Bruxelles,à vérifier,à vérifier,à vérifier,à vérifier,"Chercher groupes concerts / sorties Bruxelles",A,publication générale,,à vérifier,,"Très utile pour petites salles et bars"
Musiciens Belgique,https://www.facebook.com/search/groups/?q=musiciens%20Belgique,Belgique,Belgique,musiciens locaux,à vérifier,à vérifier,à vérifier,à vérifier,"Vérifier si annonces booking autorisées",B,musiciens,,à vérifier,,"Pour collaborations, plateaux, premières parties"
Musiciens Bruxelles,https://www.facebook.com/search/groups/?q=musiciens%20Bruxelles,Belgique,Bruxelles,musiciens locaux,à vérifier,à vérifier,à vérifier,à vérifier,"Vérifier autopromotion et annonces concerts",B,musiciens,,à vérifier,,"Bon pour réseaux locaux"
Bruxelles sorties concerts spectacles,https://www.facebook.com/search/groups/?q=Bruxelles%20sorties%20concerts%20spectacles,Belgique,Bruxelles,sorties concerts,à vérifier,à vérifier,à vérifier,à vérifier,"Chercher groupes sorties / événements Bruxelles",A,publication générale,,à vérifier,,"Cible public local"
Belgique concerts festivals,https://www.facebook.com/search/groups/?q=Belgique%20concerts%20festivals,Belgique,Belgique,concerts festivals,à vérifier,à vérifier,à vérifier,à vérifier,"Chercher groupes annonçant concerts et festivals",A,publication générale,,à vérifier,,"Cible large"
Latinos en Belgique,https://www.facebook.com/search/groups/?q=latinos%20en%20Belgique,Belgique,Belgique,latino,à vérifier,à vérifier,à vérifier,à vérifier,"Vérifier si publication artiste autorisée",A,latino,,à vérifier,,"Angle Brésil / danse / percussions"
Brésiliens en Belgique,https://www.facebook.com/search/groups/?q=br%C3%A9siliens%20en%20Belgique,Belgique,Belgique,Brésil,à vérifier,à vérifier,à vérifier,à vérifier,"Vérifier règles du groupe",A,brésil,,à vérifier,,"Angle communauté brésilienne"
Samba Belgique,https://www.facebook.com/search/groups/?q=samba%20Belgique,Belgique,Belgique,samba / Brésil,à vérifier,à vérifier,à vérifier,à vérifier,"Chercher groupes samba, batucada, percussions",A,brésil,,à vérifier,,"Très compatible"
Afro House Belgium,https://www.facebook.com/search/groups/?q=afro%20house%20Belgium,Belgique,Belgique,afro-house / électro,à vérifier,à vérifier,à vérifier,à vérifier,"Chercher groupes afro house / organic house",B,électro-house,,à vérifier,,"Angle club et machines"
